	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(-2.7915355559986283e-06-4.290070523600025e-06j)	(4.159282009396602e-06+3.7336549197869825e-07j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(-1.4632929926403618e-05+8.769003322016675e-06j)	(7.324683766860051e-06-3.538770064440305e-06j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	BR	1	2	19.54305648803711	1633+382	(2.1807240003132726e-06-5.006146267591723e-09j)	(-5.863053714474871e-07-1.664832885805307e-07j)
11	FD	1	2	19.54305648803711	1633+382	0j	0j
12	HN	1	2	19.54305648803711	1633+382	0j	0j
13	KP	1	2	19.54305648803711	1633+382	0j	0j
14	LA	1	2	19.54305648803711	1633+382	0j	0j
15	MK	1	2	19.54305648803711	1633+382	0j	0j
16	NL	1	2	19.54305648803711	1633+382	(1.0152995573076509e-06+8.095194805017587e-08j)	(-3.980398136777313e-06-1.4944096764203621e-06j)
17	OV	1	2	19.54305648803711	1633+382	0j	0j
18	PT	1	2	19.54305648803711	1633+382	0j	0j
19	SC	1	2	19.54305648803711	1633+382	0j	0j
20	BR	1	3	19.601388931274414	3C345	(-4.180637408630466e-06-5.142839795194289e-06j)	(1.9170587083172257e-06-6.515903124601263e-06j)
21	FD	1	3	19.601388931274414	3C345	0j	0j
22	HN	1	3	19.601388931274414	3C345	0j	0j
23	KP	1	3	19.601388931274414	3C345	0j	0j
24	LA	1	3	19.601388931274414	3C345	(-1.7791606445832675e-06-1.599392432944583e-07j)	(-3.3115201257082094e-06+3.925131343187214e-06j)
25	MK	1	3	19.601388931274414	3C345	0j	0j
26	NL	1	3	19.601388931274414	3C345	0j	0j
27	OV	1	3	19.601388931274414	3C345	0j	0j
28	PT	1	3	19.601388931274414	3C345	0j	0j
29	SC	1	3	19.601388931274414	3C345	0j	0j
30	BR	1	4	20.125	1633+382	0j	0j
31	FD	1	4	20.125	1633+382	0j	0j
32	HN	1	4	20.125	1633+382	(-3.366080520916508e-06+1.5990455357735558e-06j)	(1.179861611754881e-06+8.609714815554658e-07j)
33	KP	1	4	20.125	1633+382	0j	0j
34	LA	1	4	20.125	1633+382	0j	0j
35	MK	1	4	20.125	1633+382	0j	0j
36	NL	1	4	20.125	1633+382	0j	0j
37	OV	1	4	20.125	1633+382	(3.4721072860064524e-06+1.6872858366759592e-06j)	(2.3689286826802026e-06-5.057474003253958e-07j)
38	PT	1	4	20.125	1633+382	0j	0j
39	SC	1	4	20.125	1633+382	0j	0j
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
43	KP	1	5	20.18194580078125	3C345	(-1.6215503651809376e-06-4.94492240401922e-06j)	(-5.651757431404057e-06+4.698343557567849e-07j)
44	LA	1	5	20.18194580078125	3C345	(-1.119873458799577e-06+1.1647261237122368e-06j)	(-2.465892911716358e-07+5.726334562130108e-06j)
45	MK	1	5	20.18194580078125	3C345	0j	0j
46	NL	1	5	20.18194580078125	3C345	0j	0j
47	OV	1	5	20.18194580078125	3C345	0j	0j
