	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(6.8333740606092505e-06-6.010436606783717e-06j)	(4.9643153309408346e-05-1.557945633921572e-05j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(3.159245979035385e-05-8.14333294702165e-05j)	(3.554661956848271e-05+2.313923181957741e-05j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	BR	1	2	19.54305648803711	1633+382	(-4.515813038746069e-06-1.8313942623370783e-06j)	(-2.0584728213745434e-06+1.4896937277145054e-05j)
11	FD	1	2	19.54305648803711	1633+382	0j	0j
12	HN	1	2	19.54305648803711	1633+382	0j	0j
13	KP	1	2	19.54305648803711	1633+382	0j	0j
14	LA	1	2	19.54305648803711	1633+382	0j	0j
15	MK	1	2	19.54305648803711	1633+382	0j	0j
16	NL	1	2	19.54305648803711	1633+382	(-5.498212043064498e-06-2.168747170174617e-05j)	(6.9143762348795965e-06+6.5390932528707815e-06j)
17	OV	1	2	19.54305648803711	1633+382	0j	0j
18	PT	1	2	19.54305648803711	1633+382	0j	0j
19	SC	1	2	19.54305648803711	1633+382	0j	0j
20	BR	1	3	19.601388931274414	3C345	(-3.4868679580766493e-06+4.844972322009477e-06j)	(1.6287535372766093e-05-2.7969607149727048e-06j)
21	FD	1	3	19.601388931274414	3C345	0j	0j
22	HN	1	3	19.601388931274414	3C345	0j	0j
23	KP	1	3	19.601388931274414	3C345	0j	0j
24	LA	1	3	19.601388931274414	3C345	(-1.104822953490893e-05+5.080708975883808e-06j)	(-6.17022410067533e-06-4.763462669027622e-06j)
25	MK	1	3	19.601388931274414	3C345	0j	0j
26	NL	1	3	19.601388931274414	3C345	0j	0j
27	OV	1	3	19.601388931274414	3C345	0j	0j
28	PT	1	3	19.601388931274414	3C345	0j	0j
29	SC	1	3	19.601388931274414	3C345	0j	0j
30	BR	1	4	20.125	1633+382	0j	0j
31	FD	1	4	20.125	1633+382	0j	0j
32	HN	1	4	20.125	1633+382	(3.0648056004504376e-06-1.1892828918181718e-05j)	(-3.429800150550131e-06-5.15907389658914e-06j)
33	KP	1	4	20.125	1633+382	0j	0j
34	LA	1	4	20.125	1633+382	0j	0j
35	MK	1	4	20.125	1633+382	0j	0j
36	NL	1	4	20.125	1633+382	0j	0j
37	OV	1	4	20.125	1633+382	(1.0372251032897069e-05+2.3819750151224263e-05j)	(-5.365422816541892e-06+2.004261268839011e-06j)
38	PT	1	4	20.125	1633+382	0j	0j
39	SC	1	4	20.125	1633+382	0j	0j
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
43	KP	1	5	20.18194580078125	3C345	(-3.993730096230485e-06+2.29814691484409e-06j)	(2.1732653157283413e-06-5.959767485358767e-06j)
44	LA	1	5	20.18194580078125	3C345	(-7.352851412376541e-06-1.8787060209602515e-06j)	(-2.1875635308361085e-07-1.8009288307823372e-06j)
45	MK	1	5	20.18194580078125	3C345	0j	0j
46	NL	1	5	20.18194580078125	3C345	0j	0j
47	OV	1	5	20.18194580078125	3C345	0j	0j
48	PT	1	5	20.18194580078125	3C345	0j	0j
49	SC	1	5	20.18194580078125	3C345	0j	0j
50	BR	1	6	20.71527862548828	1633+382	0j	0j
51	FD	1	6	20.71527862548828	1633+382	0j	0j
52	HN	1	6	20.71527862548828	1633+382	(5.3681769177372945e-06-2.1437506170145333e-05j)	(1.1585478295158652e-05-5.361619931134078e-06j)
53	KP	1	6	20.71527862548828	1633+382	0j	0j
54	LA	1	6	20.71527862548828	1633+382	(1.3504109178077422e-06-5.212403877952247e-06j)	(9.59882258414196e-06+3.7238337452720955e-06j)
55	MK	1	6	20.71527862548828	1633+382	0j	0j
56	NL	1	6	20.71527862548828	1633+382	0j	0j
57	OV	1	6	20.71527862548828	1633+382	0j	0j
58	PT	1	6	20.71527862548828	1633+382	0j	0j
59	SC	1	6	20.71527862548828	1633+382	0j	0j
60	BR	1	7	20.76388931274414	3C345	0j	0j
61	FD	1	7	20.76388931274414	3C345	0j	0j
62	HN	1	7	20.76388931274414	3C345	0j	0j
63	KP	1	7	20.76388931274414	3C345	(-6.443901916358905e-06+5.4462584577840775e-06j)	(1.2910220569220383e-06-3.4550405646652755e-06j)
64	LA	1	7	20.76388931274414	3C345	0j	0j
65	MK	1	7	20.76388931274414	3C345	0j	0j
66	NL	1	7	20.76388931274414	3C345	0j	0j
67	OV	1	7	20.76388931274414	3C345	(-9.874624537071705e-06-3.1055532847469347e-06j)	(-1.6514355630249328e-06+8.691244666852086e-06j)
68	PT	1	7	20.76388931274414	3C345	0j	0j
69	SC	1	7	20.76388931274414	3C345	0j	0j
70	BR	1	8	21.26388931274414	1633+382	0j	0j
71	FD	1	8	21.26388931274414	1633+382	0j	0j
72	HN	1	8	21.26388931274414	1633+382	0j	0j
73	KP	1	8	21.26388931274414	1633+382	(-5.652651509930376e-06-3.6110246070568823e-06j)	(6.608033564905898e-07-4.5654617259434945e-06j)
74	LA	1	8	21.26388931274414	1633+382	0j	0j
75	MK	1	8	21.26388931274414	1633+382	0j	0j
76	NL	1	8	21.26388931274414	1633+382	0j	0j
77	OV	1	8	21.26388931274414	1633+382	0j	0j
78	PT	1	8	21.26388931274414	1633+382	0j	0j
79	SC	1	8	21.26388931274414	1633+382	(1.0821553693498552e-05-6.084517948369144e-06j)	(-3.3314678461659166e-06+2.3245858878330393e-05j)
80	BR	1	9	21.3125	3C345	0j	0j
81	FD	1	9	21.3125	3C345	0j	0j
82	HN	1	9	21.3125	3C345	0j	0j
83	KP	1	9	21.3125	3C345	0j	0j
84	LA	1	9	21.3125	3C345	(-5.140792804960382e-06-9.27651303855666e-06j)	(-1.8895267988130323e-06+5.562689630213851e-06j)
85	MK	1	9	21.3125	3C345	0j	0j
86	NL	1	9	21.3125	3C345	(2.4260548776797347e-06-1.2812066243496926e-05j)	(5.694075395648994e-06+8.894280781017221e-06j)
87	OV	1	9	21.3125	3C345	0j	0j
88	PT	1	9	21.3125	3C345	0j	0j
89	SC	1	9	21.3125	3C345	0j	0j
90	BR	1	10	21.794443130493164	1633+382	(-9.340793178979855e-06+4.453239679132103e-06j)	(-5.3697285834628066e-06+1.086320793674733e-05j)
91	FD	1	10	21.794443130493164	1633+382	0j	0j
