	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(1.5724536521436518e-05-2.84435606083463e-06j)	(3.061625884355107e-05-1.361628091145727e-05j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(4.128837987815417e-06-2.989547984359344e-05j)	(1.3672914425349811e-05+8.972233476421601e-06j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	BR	1	2	19.54305648803711	1633+382	(-2.4737270297245827e-06-1.3746861047545352e-06j)	(-4.6045690932755716e-07+3.506640937185767e-07j)
11	FD	1	2	19.54305648803711	1633+382	0j	0j
12	HN	1	2	19.54305648803711	1633+382	0j	0j
13	KP	1	2	19.54305648803711	1633+382	0j	0j
14	LA	1	2	19.54305648803711	1633+382	0j	0j
15	MK	1	2	19.54305648803711	1633+382	0j	0j
16	NL	1	2	19.54305648803711	1633+382	(-2.1119559069771573e-06-1.7866643356124557e-06j)	(6.420722764424476e-06-2.730735890536271e-06j)
17	OV	1	2	19.54305648803711	1633+382	0j	0j
18	PT	1	2	19.54305648803711	1633+382	0j	0j
19	SC	1	2	19.54305648803711	1633+382	0j	0j
20	BR	1	3	19.601388931274414	3C345	(-1.2493125412661806e-05+6.40823148527036e-06j)	(-6.163550995441715e-07-1.1699208450018024e-06j)
21	FD	1	3	19.601388931274414	3C345	0j	0j
22	HN	1	3	19.601388931274414	3C345	0j	0j
23	KP	1	3	19.601388931274414	3C345	0j	0j
24	LA	1	3	19.601388931274414	3C345	(1.4448005138138479e-06-1.911396200905818e-06j)	(2.466297790404896e-08-1.8568682299980793e-06j)
25	MK	1	3	19.601388931274414	3C345	0j	0j
26	NL	1	3	19.601388931274414	3C345	0j	0j
27	OV	1	3	19.601388931274414	3C345	0j	0j
28	PT	1	3	19.601388931274414	3C345	0j	0j
29	SC	1	3	19.601388931274414	3C345	0j	0j
30	BR	1	4	20.125	1633+382	0j	0j
31	FD	1	4	20.125	1633+382	0j	0j
32	HN	1	4	20.125	1633+382	(7.549103110485492e-07-2.909058851826712e-06j)	(4.882600489368727e-06-5.725069735148166e-06j)
33	KP	1	4	20.125	1633+382	0j	0j
34	LA	1	4	20.125	1633+382	0j	0j
35	MK	1	4	20.125	1633+382	0j	0j
36	NL	1	4	20.125	1633+382	0j	0j
37	OV	1	4	20.125	1633+382	(4.863808247256327e-06+1.6892615667385882e-06j)	(-2.027164480972049e-06-3.449609587345184e-06j)
38	PT	1	4	20.125	1633+382	0j	0j
39	SC	1	4	20.125	1633+382	0j	0j
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
