	antennas	IF	scan	scantime	scansource	DRArr	DLArr
0	BR	1	1	19.21666717529297	3C279	0j	0j
1	FD	1	1	19.21666717529297	3C279	(5.652502363241497e-05+3.617354439955712e-05j)	(9.886492350562306e-05+6.430751857096997e-05j)
2	HN	1	1	19.21666717529297	3C279	0j	0j
3	KP	1	1	19.21666717529297	3C279	0j	0j
4	LA	1	1	19.21666717529297	3C279	0j	0j
5	MK	1	1	19.21666717529297	3C279	(-0.00012245291083185154-0.00011658993799726827j)	(1.3521231281068298e-05+0.00023226695824400283j)
6	NL	1	1	19.21666717529297	3C279	0j	0j
7	OV	1	1	19.21666717529297	3C279	0j	0j
8	PT	1	1	19.21666717529297	3C279	0j	0j
9	SC	1	1	19.21666717529297	3C279	0j	0j
10	BR	1	2	19.54305648803711	1633+382	(-3.4219493859045515e-05+1.5731185811757564e-05j)	(3.2294549083387785e-06+4.284236399071358e-05j)
11	FD	1	2	19.54305648803711	1633+382	0j	0j
12	HN	1	2	19.54305648803711	1633+382	0j	0j
13	KP	1	2	19.54305648803711	1633+382	0j	0j
14	LA	1	2	19.54305648803711	1633+382	0j	0j
15	MK	1	2	19.54305648803711	1633+382	0j	0j
16	NL	1	2	19.54305648803711	1633+382	(-2.1594088135420132e-05-3.7645436404302936e-05j)	(-4.794155471624351e-05+4.351926610412262e-06j)
17	OV	1	2	19.54305648803711	1633+382	0j	0j
18	PT	1	2	19.54305648803711	1633+382	0j	0j
19	SC	1	2	19.54305648803711	1633+382	0j	0j
20	BR	1	3	19.601388931274414	3C345	(1.151427111970985e-06+1.3337856014117894e-05j)	(1.2322855558999856e-05+2.322546064909969e-06j)
21	FD	1	3	19.601388931274414	3C345	0j	0j
22	HN	1	3	19.601388931274414	3C345	0j	0j
23	KP	1	3	19.601388931274414	3C345	0j	0j
24	LA	1	3	19.601388931274414	3C345	(-1.1481215226758223e-05-6.445728914719354e-06j)	(-1.4425929666868671e-05-3.7510906018215517e-06j)
25	MK	1	3	19.601388931274414	3C345	0j	0j
26	NL	1	3	19.601388931274414	3C345	0j	0j
27	OV	1	3	19.601388931274414	3C345	0j	0j
28	PT	1	3	19.601388931274414	3C345	0j	0j
29	SC	1	3	19.601388931274414	3C345	0j	0j
30	BR	1	4	20.125	1633+382	0j	0j
31	FD	1	4	20.125	1633+382	0j	0j
32	HN	1	4	20.125	1633+382	(-7.479644734372781e-06-4.291421635228934e-05j)	(2.3211226954619306e-06-1.5700934110622456e-05j)
33	KP	1	4	20.125	1633+382	0j	0j
34	LA	1	4	20.125	1633+382	0j	0j
35	MK	1	4	20.125	1633+382	0j	0j
36	NL	1	4	20.125	1633+382	0j	0j
37	OV	1	4	20.125	1633+382	(4.4977976337100597e-05+0.00010528254756755715j)	(-1.5477253400082087e-05+4.364507510255335e-05j)
38	PT	1	4	20.125	1633+382	0j	0j
39	SC	1	4	20.125	1633+382	0j	0j
40	BR	1	5	20.18194580078125	3C345	0j	0j
41	FD	1	5	20.18194580078125	3C345	0j	0j
42	HN	1	5	20.18194580078125	3C345	0j	0j
43	KP	1	5	20.18194580078125	3C345	(-2.4324052288019766e-05-5.941626463522401e-06j)	(-1.2198474129026348e-05-1.1377276522671222e-05j)
44	LA	1	5	20.18194580078125	3C345	(-2.1303165096636666e-06-3.2164310321117954e-06j)	(-7.696479372830953e-06+3.762906574773371e-07j)
45	MK	1	5	20.18194580078125	3C345	0j	0j
46	NL	1	5	20.18194580078125	3C345	0j	0j
47	OV	1	5	20.18194580078125	3C345	0j	0j
48	PT	1	5	20.18194580078125	3C345	0j	0j
49	SC	1	5	20.18194580078125	3C345	0j	0j
50	BR	1	6	20.71527862548828	1633+382	0j	0j
51	FD	1	6	20.71527862548828	1633+382	0j	0j
52	HN	1	6	20.71527862548828	1633+382	(-1.873875200007249e-05-3.8470139082211123e-05j)	(6.586721094319839e-05-1.0066291851528667e-05j)
53	KP	1	6	20.71527862548828	1633+382	0j	0j
54	LA	1	6	20.71527862548828	1633+382	(2.000646740892363e-05-6.611635396595606e-06j)	(8.707538010135772e-06+5.627518535765975e-06j)
55	MK	1	6	20.71527862548828	1633+382	0j	0j
56	NL	1	6	20.71527862548828	1633+382	0j	0j
57	OV	1	6	20.71527862548828	1633+382	0j	0j
58	PT	1	6	20.71527862548828	1633+382	0j	0j
59	SC	1	6	20.71527862548828	1633+382	0j	0j
60	BR	1	7	20.76388931274414	3C345	0j	0j
61	FD	1	7	20.76388931274414	3C345	0j	0j
62	HN	1	7	20.76388931274414	3C345	0j	0j
63	KP	1	7	20.76388931274414	3C345	(-1.6629965984022464e-05-2.90061623424894e-06j)	(-4.76486565818749e-06-7.814695067066623e-06j)
64	LA	1	7	20.76388931274414	3C345	0j	0j
65	MK	1	7	20.76388931274414	3C345	0j	0j
66	NL	1	7	20.76388931274414	3C345	0j	0j
67	OV	1	7	20.76388931274414	3C345	(-2.668743078530871e-05-8.939425716983315e-06j)	(-1.1926888656733829e-05-1.5207355965673872e-06j)
68	PT	1	7	20.76388931274414	3C345	0j	0j
69	SC	1	7	20.76388931274414	3C345	0j	0j
70	BR	1	8	21.26388931274414	1633+382	0j	0j
71	FD	1	8	21.26388931274414	1633+382	0j	0j
72	HN	1	8	21.26388931274414	1633+382	0j	0j
73	KP	1	8	21.26388931274414	1633+382	(-6.047295307530001e-06-1.1388152684090836e-05j)	(2.7437446321414653e-05-4.004042729839897e-05j)
74	LA	1	8	21.26388931274414	1633+382	0j	0j
75	MK	1	8	21.26388931274414	1633+382	0j	0j
76	NL	1	8	21.26388931274414	1633+382	0j	0j
77	OV	1	8	21.26388931274414	1633+382	0j	0j
78	PT	1	8	21.26388931274414	1633+382	0j	0j
79	SC	1	8	21.26388931274414	1633+382	(-1.187636009580644e-05-1.042480723732264e-06j)	(3.893668052411535e-05+4.778733730382839e-05j)
80	BR	1	9	21.3125	3C345	0j	0j
81	FD	1	9	21.3125	3C345	0j	0j
82	HN	1	9	21.3125	3C345	0j	0j
83	KP	1	9	21.3125	3C345	0j	0j
84	LA	1	9	21.3125	3C345	(-1.3348307001806211e-05-9.080483458172758e-06j)	(-9.201234674897225e-06+6.6072638425869e-06j)
85	MK	1	9	21.3125	3C345	0j	0j
86	NL	1	9	21.3125	3C345	(1.3313518040215095e-05-1.972847835884953e-05j)	(8.035997857599896e-06+2.1880705072648446e-05j)
87	OV	1	9	21.3125	3C345	0j	0j
88	PT	1	9	21.3125	3C345	0j	0j
89	SC	1	9	21.3125	3C345	0j	0j
90	BR	1	10	21.794443130493164	1633+382	(-3.708470484487936e-05-1.0265420586420661e-06j)	(-1.9632302458165627e-05+4.225263556890669e-06j)
91	FD	1	10	21.794443130493164	1633+382	0j	0j
92	HN	1	10	21.794443130493164	1633+382	(3.163667058849893e-05+3.610880585193523e-05j)	(-2.417354442926928e-05+2.9490557987580915e-05j)
93	KP	1	10	21.794443130493164	1633+382	0j	0j
94	LA	1	10	21.794443130493164	1633+382	0j	0j
95	MK	1	10	21.794443130493164	1633+382	0j	0j
96	NL	1	10	21.794443130493164	1633+382	0j	0j
97	OV	1	10	21.794443130493164	1633+382	0j	0j
98	PT	1	10	21.794443130493164	1633+382	0j	0j
99	SC	1	10	21.794443130493164	1633+382	0j	0j
100	BR	1	11	21.844444274902344	3C345	0j	0j
101	FD	1	11	21.844444274902344	3C345	0j	0j
102	HN	1	11	21.844444274902344	3C345	0j	0j
103	KP	1	11	21.844444274902344	3C345	(-1.2490110274660398e-05-3.0588661535713927e-06j)	(-1.6862856692086376e-05+8.384832250731236e-06j)
104	LA	1	11	21.844444274902344	3C345	0j	0j
105	MK	1	11	21.844444274902344	3C345	0j	0j
106	NL	1	11	21.844444274902344	3C345	0j	0j
107	OV	1	11	21.844444274902344	3C345	0j	0j
108	PT	1	11	21.844444274902344	3C345	0j	0j
109	SC	1	11	21.844444274902344	3C345	(-1.1930825233403682e-05+8.89292515472505e-06j)	(-1.5845053680107825e-05+1.6132253571492556e-05j)
110	BR	1	12	22.287500381469727	CTA102	(2.8248359250477305e-05+6.837412684959252e-06j)	(-1.1700666887232665e-05+2.555599370150188e-05j)
111	FD	1	12	22.287500381469727	CTA102	(3.3002719660734997e-06-1.8438059781567228e-05j)	(1.4786293180591431e-05+2.164455815994392e-06j)
112	HN	1	12	22.287500381469727	CTA102	0j	0j
113	KP	1	12	22.287500381469727	CTA102	0j	0j
114	LA	1	12	22.287500381469727	CTA102	0j	0j
115	MK	1	12	22.287500381469727	CTA102	0j	0j
116	NL	1	12	22.287500381469727	CTA102	0j	0j
117	OV	1	12	22.287500381469727	CTA102	0j	0j
118	PT	1	12	22.287500381469727	CTA102	0j	0j
119	SC	1	12	22.287500381469727	CTA102	0j	0j
120	BR	1	13	22.359722137451172	3C454.3	0j	0j
121	FD	1	13	22.359722137451172	3C454.3	0j	0j
122	HN	1	13	22.359722137451172	3C454.3	0j	0j
123	KP	1	13	22.359722137451172	3C454.3	0j	0j
124	LA	1	13	22.359722137451172	3C454.3	0j	0j
125	MK	1	13	22.359722137451172	3C454.3	(-1.9849716370510418e-06-8.727285333868344e-06j)	(1.967516740306817e-05-9.688411189430301e-06j)
126	NL	1	13	22.359722137451172	3C454.3	0j	0j
127	OV	1	13	22.359722137451172	3C454.3	0j	0j
128	PT	1	13	22.359722137451172	3C454.3	0j	0j
